gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureBucket,AvgMonthlySpend,NumAddonServices
0,1,1,0,31,1,2,0,2,0,0,2,0,0,0,1,2,53.96,1666.37,0,2,53.75,2
1,0,0,0,61,1,0,0,0,2,2,0,2,0,2,0,2,57.27,3459.7,0,3,56.72,3
0,1,1,0,6,1,0,1,0,2,0,2,2,0,1,1,1,90.19,542.73,0,0,90.46,3
0,0,1,0,10,1,0,2,1,1,1,1,1,1,0,0,0,18.7,163.82,0,0,16.38,0
1,0,0,0,4,1,0,1,0,0,0,0,0,0,1,1,3,79.59,306.26,1,0,76.56,0
1,0,0,0,28,1,0,2,1,1,1,1,1,1,0,1,2,20.24,580.85,1,2,20.74,0
1,0,0,0,72,1,0,0,2,0,0,0,0,2,0,0,0,55.82,4016.65,0,3,55.79,2
1,0,0,0,24,1,2,1,2,0,0,2,0,0,2,1,2,91.2,2188.05,0,1,91.17,2
1,0,0,1,23,1,2,1,0,0,0,0,0,2,0,1,1,76.55,1784.02,1,1,77.57,1
1,0,1,0,19,1,2,0,0,2,2,0,0,0,2,0,1,51.47,932.81,0,1,49.1,2
1,0,0,0,2,1,2,1,0,0,0,2,2,0,1,0,0,74.9,172.3,1,0,86.15,2
1,0,0,0,31,1,2,2,1,1,1,1,1,1,1,1,1,18.0,560.95,0,2,18.1,0
0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,1,2,21.18,464.58,0,1,21.12,0
0,0,0,0,25,0,1,0,0,2,2,0,0,2,0,1,2,64.56,1613.25,1,2,64.53,3
1,0,1,1,54,1,0,0,2,0,0,0,2,0,0,0,2,47.48,2576.72,0,3,47.72,2
0,0,0,0,36,1,2,1,0,2,2,0,2,2,0,1,2,90.02,3261.24,1,2,90.59,4
0,1,1,1,36,1,0,0,2,2,0,2,2,0,0,0,1,71.39,2565.31,0,2,71.26,4
0,0,1,0,62,1,0,2,1,1,1,1,1,1,0,1,2,21.31,1318.54,1,3,21.27,0
0,1,0,0,72,1,0,0,2,0,2,0,2,0,2,1,1,66.78,4820.34,0,3,66.95,3
1,0,1,1,20,1,0,1,0,0,0,0,2,0,0,1,0,67.46,1307.24,0,1,65.36,1
0,0,0,1,2,1,0,1,2,2,0,2,0,0,1,1,3,83.87,165.77,1,0,82.88,3
1,0,1,0,14,1,2,1,2,0,2,2,0,0,0,0,2,85.6,1208.36,1,1,86.31,3
0,0,1,0,37,1,0,0,0,0,2,2,0,2,0,1,2,62.77,2312.62,0,2,62.5,3
0,1,0,1,0,1,0,0,0,2,2,0,0,0,0,0,2,50.74,0.0,0,0,0.0,2
0,0,0,0,1,1,0,1,0,2,0,2,2,0,1,1,3,87.08,84.03,1,0,84.03,3
1,0,0,0,1,1,0,1,2,2,2,0,2,0,0,1,3,92.47,80.77,1,0,80.77,4
0,0,0,1,31,1,0,1,2,2,0,0,0,0,0,1,0,79.63,2463.62,0,2,79.47,2
1,0,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,47.35,748.16,0,1,46.76,0
0,1,1,0,11,1,0,0,2,2,0,0,0,0,2,0,3,56.58,653.61,0,0,59.42,2
1,0,1,0,2,1,0,1,0,2,0,0,2,0,0,1,2,76.71,130.63,1,0,65.32,2
0,0,1,0,31,1,0,2,1,1,1,1,1,1,2,0,1,19.21,612.21,0,2,19.75,0
1,0,0,1,9,1,0,0,0,0,0,2,0,2,1,1,2,48.76,427.1,0,0,47.46,2
1,0,0,1,7,1,2,0,2,2,0,0,0,0,1,0,2,47.52,339.16,1,0,48.45,2
0,0,1,1,25,1,0,0,0,0,0,2,2,0,0,0,0,56.27,1419.69,0,2,56.79,2
1,0,0,0,19,1,2,0,0,2,0,0,0,2,0,0,1,45.53,895.68,0,1,47.14,2
0,0,0,0,10,1,0,0,0,2,0,2,2,0,0,0,1,58.79,595.76,1,0,59.58,3
0,0,1,0,24,1,2,1,0,2,2,2,2,0,2,0,2,92.07,2201.75,0,1,91.74,4
0,0,1,0,7,1,2,2,1,1,1,1,1,1,0,0,3,20.08,141.88,1,0,20.27,0
0,0,0,0,38,1,2,0,0,2,2,0,2,0,2,1,2,70.93,2733.71,0,2,71.94,3
0,0,0,0,6,1,0,1,2,0,0,0,0,2,0,1,1,82.13,496.05,0,0,82.68,2
0,0,0,0,4,0,1,1,0,2,2,2,0,0,0,0,2,83.66,308.48,0,0,77.12,3
0,0,1,1,36,1,0,2,1,1,1,1,1,1,0,0,2,23.04,821.77,0,2,22.83,0
0,0,0,1,29,1,0,2,1,1,1,1,1,1,0,1,1,18.0,513.82,0,2,17.72,0
0,0,1,0,4,1,0,2,1,1,1,1,1,1,2,1,1,25.0,114.6,0,0,28.65,0
0,0,1,0,2,1,2,1,0,2,0,0,2,0,2,0,0,77.48,130.52,0,0,65.26,2
0,0,0,0,43,1,0,2,1,1,1,1,1,1,1,0,2,25.53,1087.63,0,2,25.29,0
1,0,1,0,35,1,0,1,0,0,2,2,2,0,1,1,3,87.0,3049.27,0,2,87.12,3
1,0,0,1,9,1,0,0,2,2,2,0,2,0,1,1,1,68.13,607.56,0,0,67.51,4
0,0,1,0,25,1,2,2,1,1,1,1,1,1,2,1,0,18.0,451.82,0,2,18.07,0
0,0,0,0,3,1,0,1,0,2,0,0,0,2,0,1,2,74.28,225.79,1,0,75.26,2
0,0,0,0,16,0,1,0,0,0,0,0,0,2,2,0,2,44.19,711.33,0,1,44.46,1
0,0,1,0,0,1,2,2,1,1,1,1,1,1,1,0,1,18.0,0.0,0,0,0.0,0
0,0,0,0,11,1,2,1,2,0,2,0,0,2,2,1,3,83.08,929.83,1,0,84.53,3
0,0,1,0,1,1,0,0,2,2,2,0,2,0,2,1,0,62.06,51.35,0,0,51.35,4
0,0,0,0,15,1,0,1,0,0,2,0,0,0,2,0,3,80.06,1200.67,0,1,80.04,1
0,0,1,0,13,1,0,1,2,0,2,0,2,2,1,1,3,84.83,1078.55,1,1,82.97,4
1,0,1,0,14,1,2,1,2,2,2,2,0,0,0,1,1,100.97,1414.38,1,1,101.03,4
0,0,1,1,1,1,0,0,0,0,0,2,2,2,0,0,2,54.99,58.79,1,0,58.79,3
1,0,1,1,10,1,0,2,1,1,1,1,1,1,1,0,0,18.0,180.72,0,0,18.07,0
0,0,0,1,33,0,1,2,1,1,1,1,1,1,2,1,2,18.0,578.39,0,2,17.53,0
0,0,1,1,11,1,0,0,0,0,0,0,2,0,0,0,2,50.05,573.11,1,0,52.1,1
1,0,1,0,30,1,0,0,0,0,0,2,0,2,0,1,0,53.39,1613.37,0,2,53.78,2
0,0,1,0,11,1,0,0,2,0,0,0,2,2,0,1,1,59.46,651.28,1,0,59.21,3
1,0,1,1,13,1,2,2,1,1,1,1,1,1,2,1,0,22.03,283.43,0,1,21.8,0
0,0,0,1,19,1,2,2,1,1,1,1,1,1,0,1,2,24.91,458.53,0,1,24.13,0
0,1,0,1,72,1,2,1,0,0,0,2,2,0,1,1,2,74.15,5326.34,1,3,73.98,2
1,0,1,0,2,1,0,2,1,1,1,1,1,1,0,1,1,20.1,69.34,0,0,34.67,0
0,0,0,0,0,1,0,1,0,0,0,2,2,2,0,0,2,89.28,0.0,1,0,0.0,3
1,1,0,0,22,1,0,1,2,0,2,0,0,2,2,0,1,79.53,1804.94,0,1,82.04,3
0,0,1,0,71,1,2,1,2,0,0,2,2,0,0,1,2,98.82,6993.03,1,3,98.49,3
1,1,0,1,72,1,0,0,0,2,0,2,0,0,0,1,1,66.71,4810.5,0,3,66.81,2
1,0,0,0,15,1,0,0,0,2,0,0,2,2,0,1,1,59.62,898.82,1,1,59.92,3
0,1,0,1,15,0,1,1,0,0,0,0,0,0,0,1,2,64.47,967.78,1,1,64.52,0
0,0,0,0,24,1,2,0,0,0,0,2,0,0,1,1,0,45.11,1050.8,0,1,43.78,1
1,0,1,0,19,1,0,0,0,0,0,2,0,2,0,0,2,56.17,1039.81,1,1,54.73,2
0,0,0,0,24,1,0,0,0,2,0,0,2,0,1,1,2,58.2,1400.71,1,1,58.36,2
0,0,0,0,49,1,0,1,0,0,0,0,0,2,0,1,3,65.79,3203.23,1,3,65.37,1
0,0,0,0,32,1,2,2,1,1,1,1,1,1,2,1,0,18.0,600.18,0,2,18.76,0
1,0,0,1,16,1,2,2,1,1,1,1,1,1,2,1,2,20.71,326.88,0,1,20.43,0
1,0,1,1,14,1,0,1,0,0,0,2,0,0,2,0,0,67.98,956.82,0,1,68.34,1
1,0,0,0,24,1,0,2,1,1,1,1,1,1,2,1,2,18.51,443.43,0,1,18.48,0
1,0,0,0,14,1,2,1,0,2,0,2,0,0,0,1,2,82.16,1148.88,0,1,82.06,2
1,0,1,1,14,1,0,0,0,2,2,2,2,0,0,0,0,64.19,929.08,1,1,66.36,4
1,1,1,0,0,1,2,1,0,2,0,0,0,0,1,1,3,71.33,21.69,1,0,21.69,1
1,0,0,0,4,1,0,0,2,2,0,2,0,0,0,1,0,60.44,244.85,0,0,61.21,3
1,1,1,0,16,1,0,1,0,0,2,0,0,2,0,0,0,82.53,1333.98,1,1,83.37,2
1,0,1,0,41,1,2,0,2,2,2,0,0,2,0,0,1,60.4,2499.86,0,2,60.97,4
0,0,1,0,7,1,2,1,2,0,2,0,0,2,0,1,3,86.72,595.08,1,0,85.01,3
1,0,1,0,17,1,0,0,2,0,0,2,0,0,1,1,2,56.62,931.44,1,1,54.79,2
0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,0,57.6,587.06,0,0,58.71,2
0,0,1,0,2,1,2,2,1,1,1,1,1,1,0,1,0,21.31,67.54,0,0,33.77,0
0,0,1,0,72,1,0,0,2,2,2,0,0,0,1,1,3,60.65,4332.51,0,3,60.17,3
1,0,0,0,46,1,0,1,0,0,0,0,0,0,0,1,0,69.22,3171.99,0,2,68.96,0
1,1,0,1,1,1,0,0,0,2,0,0,0,2,2,1,2,53.5,48.67,0,0,48.67,2
1,0,1,1,30,0,1,0,0,0,0,0,0,0,0,1,2,48.61,1438.65,1,2,47.96,0
1,0,1,0,10,1,0,1,2,0,2,0,0,0,1,1,0,79.52,792.31,0,0,79.23,2
0,0,0,0,72,1,0,1,2,0,2,2,2,2,0,0,2,97.68,7010.69,1,3,97.37,5
1,0,1,0,8,1,0,0,2,0,0,0,2,0,0,1,3,57.6,454.42,0,0,56.8,2
1,0,1,1,6,1,0,2,1,1,1,1,1,1,0,1,3,18.0,121.99,0,0,20.33,0
1,0,1,1,20,1,2,1,2,0,0,0,0,2,0,1,3,78.41,1526.81,0,1,76.34,2
1,0,0,0,43,1,0,0,2,0,2,0,0,0,2,0,0,54.74,2332.8,0,2,54.25,2
1,0,0,1,5,1,2,0,0,0,0,2,0,0,1,1,2,50.45,280.26,1,0,56.05,1
0,0,0,1,29,0,1,1,0,0,2,2,0,2,0,1,1,87.15,2510.86,1,2,86.58,3
1,0,0,0,1,1,0,1,2,2,0,0,0,0,0,1,0,80.89,28.92,1,0,28.92,2
0,1,0,1,60,1,2,0,0,2,2,2,0,0,0,1,3,60.21,3616.02,1,3,60.27,3
1,0,1,0,2,1,2,1,2,2,2,2,0,2,0,0,2,92.82,184.14,1,0,92.07,5
0,0,0,0,58,1,2,0,2,2,0,0,2,2,0,1,2,70.28,4079.2,1,3,70.33,4
1,0,1,1,16,0,1,0,2,0,0,0,0,0,2,1,0,51.74,828.99,0,1,51.81,1
1,1,0,0,14,1,0,0,0,2,2,2,2,0,0,0,2,64.44,927.62,1,1,66.26,4
0,0,0,0,72,1,0,2,1,1,1,1,1,1,1,1,2,18.05,1285.54,0,3,17.85,0
0,0,0,0,72,1,2,1,0,2,0,2,0,2,1,1,3,86.4,6218.92,0,3,86.37,3
0,0,1,0,25,0,1,2,1,1,1,1,1,1,2,1,0,20.15,495.1,0,2,19.8,0
1,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,42.38,140.67,1,0,46.89,1
0,0,0,0,16,1,2,0,2,0,2,2,2,0,1,1,0,60.05,976.35,0,1,61.02,4
1,0,0,0,18,1,0,0,0,0,0,0,2,2,2,1,1,61.52,1114.81,0,1,61.93,2
1,0,0,0,17,1,2,1,0,0,0,0,0,0,0,1,2,71.85,1264.53,1,1,74.38,0
0,0,1,1,20,1,0,0,0,0,0,0,0,0,0,1,0,41.8,847.07,0,1,42.35,0
0,0,0,1,0,1,2,0,2,2,2,0,0,2,2,0,2,63.14,25.1,0,0,25.1,4
1,0,0,1,29,1,2,0,0,0,0,0,2,2,2,0,3,50.69,1452.3,0,2,50.08,2
1,0,0,0,29,0,1,2,1,1,1,1,1,1,0,0,0,18.0,508.04,0,2,17.52,0
0,0,0,1,2,1,0,1,0,0,0,2,0,2,1,0,2,85.12,209.85,1,0,104.92,2
0,1,0,0,20,1,2,0,0,0,2,0,0,0,0,0,3,49.09,954.72,1,1,47.74,1
0,0,0,0,20,1,0,1,0,0,0,2,2,0,0,1,1,84.17,1698.76,1,1,84.94,2
1,0,0,1,27,0,1,1,0,0,0,0,0,0,0,1,2,78.14,2135.51,0,2,79.09,0
1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,3,48.02,119.55,1,0,59.78,1
1,0,1,0,23,1,0,0,0,0,0,0,0,2,1,1,1,43.52,969.05,0,1,42.13,1
1,0,1,1,7,0,1,2,1,1,1,1,1,1,2,1,3,22.16,148.1,0,0,21.16,0
1,0,0,0,16,0,1,0,0,2,2,0,0,0,2,1,0,50.9,826.84,0,1,51.68,2
1,0,0,0,35,1,0,2,1,1,1,1,1,1,0,1,1,20.0,714.84,0,2,20.42,0
0,0,0,0,29,0,1,0,2,0,0,0,2,2,2,1,2,60.84,1764.18,0,2,60.83,3
1,0,0,1,3,1,0,1,2,2,2,2,0,0,0,0,2,99.29,283.95,1,0,94.65,4
1,0,1,0,21,1,0,0,0,0,0,2,0,2,0,1,0,56.61,1183.34,0,1,56.35,2
1,0,0,0,72,1,2,1,2,0,2,0,2,0,2,1,0,82.71,5942.76,0,3,82.54,3
0,0,0,0,4,1,2,2,1,1,1,1,1,1,0,0,2,23.13,67.67,0,0,16.92,0
1,0,1,1,46,1,2,1,0,0,2,2,2,0,0,1,2,89.08,4091.7,0,2,88.95,3
1,0,1,0,29,1,2,0,2,2,0,0,2,2,0,1,3,71.02,2096.57,0,2,72.3,4
0,0,0,0,35,1,2,0,0,0,0,0,0,0,0,1,1,40.39,1408.07,1,2,40.23,0
1,0,1,0,7,1,2,2,1,1,1,1,1,1,2,0,3,26.45,154.89,0,0,22.13,0
1,0,0,0,8,1,2,1,2,0,0,0,0,2,2,0,1,91.43,724.27,0,0,90.53,2
1,0,1,0,56,1,2,0,0,0,0,0,0,0,2,1,1,51.34,2909.6,0,3,51.96,0
1,0,0,0,10,0,1,2,1,1,1,1,1,1,2,1,0,27.25,240.64,0,0,24.06,0
1,1,0,0,1,1,2,1,0,2,2,0,0,0,1,1,0,77.83,77.81,1,0,77.81,2
0,0,0,0,22,1,2,0,2,2,2,2,0,0,2,1,3,73.45,1630.65,0,1,74.12,4
0,0,1,1,3,1,0,1,0,2,0,0,0,2,0,0,2,77.62,210.04,1,0,70.01,2
0,0,0,0,38,0,1,1,0,0,0,2,0,0,2,0,0,74.81,2846.6,0,2,74.91,1
1,0,1,0,24,1,2,2,1,1,1,1,1,1,0,1,3,18.0,413.73,0,1,17.24,0
1,0,1,1,49,0,1,1,0,2,2,2,0,0,2,0,3,82.09,3997.89,0,3,81.59,3
1,0,0,0,36,1,0,2,1,1,1,1,1,1,0,1,0,19.97,731.37,0,2,20.32,0
0,1,0,1,2,1,0,2,1,1,1,1,1,1,1,0,3,18.0,72.46,0,0,36.23,0
1,0,0,0,11,1,2,1,0,0,2,0,2,0,1,0,0,76.56,834.42,0,0,75.86,2
1,0,1,0,35,1,0,0,0,2,2,0,0,0,2,1,3,50.14,1766.52,0,2,50.47,2
0,0,1,1,12,1,0,2,1,1,1,1,1,1,2,0,2,27.67,341.71,0,0,28.48,0
1,0,1,0,72,1,0,1,2,0,2,2,2,0,0,1,3,98.1,7066.68,0,3,98.15,4
0,0,0,1,31,1,0,2,1,1,1,1,1,1,1,1,1,32.73,1000.86,0,2,32.29,0
0,0,0,0,0,1,0,0,2,0,2,2,2,0,0,0,1,64.67,0.0,1,0,0.0,4
0,0,0,0,50,1,2,2,1,1,1,1,1,1,0,1,2,20.15,991.56,0,3,19.83,0
1,0,0,0,2,1,2,2,1,1,1,1,1,1,0,1,3,23.86,44.15,1,0,22.08,0
1,0,1,1,3,1,0,2,1,1,1,1,1,1,0,0,1,18.0,45.61,1,0,15.2,0
1,0,1,1,31,1,0,0,0,2,0,2,0,0,0,0,2,50.11,1530.43,0,2,49.37,2
1,0,1,0,48,1,0,1,0,0,0,0,2,0,2,1,2,67.01,3212.38,0,2,66.92,1
1,0,1,0,18,1,2,0,0,0,0,2,0,0,2,1,2,54.18,962.53,0,1,53.47,1
1,0,1,1,8,1,2,0,2,0,0,0,0,0,0,1,0,45.69,376.66,1,0,47.08,1
1,0,0,1,10,1,0,0,0,2,2,0,0,0,0,1,3,60.01,592.28,0,0,59.23,2
0,0,1,1,10,1,0,2,1,1,1,1,1,1,0,0,2,18.0,196.88,1,0,19.69,0
1,1,0,0,9,1,0,1,2,2,2,0,2,2,0,1,0,95.02,859.77,1,0,95.53,5
0,1,1,0,6,1,0,0,2,0,0,0,0,0,0,1,2,49.14,284.91,1,0,47.49,1
1,0,0,1,22,1,2,2,1,1,1,1,1,1,0,1,0,20.95,457.63,0,1,20.8,0
1,1,0,0,55,1,0,1,0,0,2,0,2,0,1,1,3,77.55,4262.55,1,3,77.5,2
1,0,0,1,8,1,0,2,1,1,1,1,1,1,1,0,3,25.2,204.92,0,0,25.62,0
0,0,1,0,4,1,0,2,1,1,1,1,1,1,0,1,2,19.16,83.86,0,0,20.96,0
0,0,0,0,43,0,1,1,0,2,0,0,0,0,0,1,0,76.82,3294.25,1,2,76.61,1
0,0,0,0,32,1,0,0,2,2,2,2,0,0,1,0,3,65.55,2092.83,0,2,65.4,4
0,0,1,0,64,1,2,2,1,1,1,1,1,1,2,1,3,18.0,1154.29,0,3,18.04,0
1,0,1,0,4,1,2,0,0,0,2,2,0,0,0,1,0,61.75,187.86,0,0,46.96,2
0,0,1,0,3,1,2,1,0,2,0,0,2,0,0,1,0,76.74,241.28,0,0,80.43,2
1,0,0,0,18,1,0,2,1,1,1,1,1,1,0,1,2,24.04,413.65,1,1,22.98,0
1,0,0,0,22,0,1,0,2,0,0,0,2,0,0,1,2,58.64,1284.3,0,1,58.38,2
0,0,0,1,15,1,2,1,2,2,0,2,2,0,0,1,2,82.51,1224.1,0,1,81.61,4
0,0,1,0,21,1,0,1,0,2,0,0,2,0,0,1,0,79.1,1676.07,0,1,79.81,2
0,0,1,0,4,1,2,0,2,2,0,0,0,2,0,0,0,62.9,272.09,0,0,68.02,3
0,1,0,1,15,1,2,0,0,2,2,0,0,2,0,1,0,58.55,876.0,0,1,58.4,3
0,1,1,1,25,1,0,2,1,1,1,1,1,1,1,0,0,19.36,482.01,0,2,19.28,0
0,0,0,0,13,0,1,0,2,0,0,2,2,0,0,0,1,61.09,793.39,0,1,61.03,3
0,1,0,1,27,1,0,2,1,1,1,1,1,1,1,1,3,18.12,488.93,0,2,18.11,0
0,0,1,0,14,1,0,1,0,0,0,2,0,0,0,1,3,76.79,1095.08,1,1,78.22,1
1,1,0,0,9,1,0,1,2,0,0,0,0,2,0,1,1,80.21,782.1,1,0,86.9,2
0,0,1,0,8,0,1,2,1,1,1,1,1,1,2,1,2,19.02,148.72,0,0,18.59,0
0,0,0,0,12,1,0,1,0,2,0,0,0,0,1,0,3,70.15,853.17,0,0,71.1,1
1,0,1,0,0,1,2,1,0,2,0,2,0,0,0,1,2,82.03,0.0,1,0,0.0,2
0,0,0,0,26,1,0,0,0,2,0,0,0,2,1,0,1,42.95,1101.59,0,2,42.37,2
1,0,1,1,44,1,2,1,0,0,0,0,0,2,1,0,3,76.31,3337.24,0,2,75.85,1
1,0,1,0,10,1,2,1,2,2,0,0,2,2,0,1,2,90.07,927.49,0,0,92.75,4
0,0,0,1,1,0,1,0,0,0,2,2,2,2,0,1,0,60.93,75.0,0,0,75.0,4
1,0,1,1,72,1,2,1,0,0,0,2,2,2,2,1,2,78.05,5611.9,0,3,77.94,3
1,0,0,0,7,1,0,1,0,0,2,2,0,2,0,0,1,87.09,613.89,1,0,87.7,3
1,0,1,1,3,1,0,2,1,1,1,1,1,1,0,0,3,18.76,71.57,0,0,23.86,0
1,0,0,0,11,1,2,1,2,0,0,0,2,0,0,1,0,80.69,911.51,0,0,82.86,2
0,0,1,1,32,1,0,2,1,1,1,1,1,1,2,1,3,18.0,584.17,0,2,18.26,0
1,0,0,1,8,1,0,1,0,2,2,0,0,2,2,1,1,87.38,700.88,0,0,87.61,3
0,0,1,1,20,1,0,2,1,1,1,1,1,1,2,0,1,24.7,520.38,0,1,26.02,0
1,0,1,1,12,1,0,1,0,2,0,2,0,0,2,0,0,79.24,928.81,0,0,77.4,2
1,1,1,0,3,1,2,1,0,0,2,0,0,2,2,1,1,75.52,188.12,0,0,62.71,2
1,0,0,0,9,1,0,1,2,0,0,0,0,2,1,1,2,82.17,764.65,1,0,84.96,2
1,0,1,0,30,1,0,1,2,2,0,0,2,2,1,1,1,88.58,2648.42,1,2,88.28,4
0,1,0,0,22,1,0,2,1,1,1,1,1,1,2,1,0,24.32,561.78,0,1,25.54,0
0,0,0,1,3,1,2,0,0,0,2,2,0,2,0,0,1,60.1,218.69,0,0,72.9,3
1,0,1,0,4,1,2,0,0,0,0,0,2,0,1,1,0,39.29,194.24,0,0,48.56,1
1,0,0,1,24,1,0,2,1,1,1,1,1,1,1,0,2,18.0,371.76,0,1,15.49,0
