customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3389-DBPZD,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,84.56,1275.76,No
9760-BWTMC,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.82,406.14,Yes
4432-SUIKC,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,84.56,1746.04,Yes
3889-IFGXU,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.09,331.48,Yes
7797-KRGGM,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.72,3493.27,Yes
4183-LBGSJ,Female,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.36,83.34,No
1933-YTLAZ,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),52.86,1039.13,No
6795-MSEWX,Female,0,No,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),82.45,2480.1,No
5828-SULXG,Female,1,No,Yes,56,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,77.95,4367.39,No
8316-XVGSM,Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,75.24,3818.21,No
8921-JBBZG,Female,1,Yes,Yes,17,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,47.89,801.39,No
4738-ADGZZ,Male,0,Yes,Yes,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.56,629.89,No
5017-YUQLB,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.39,240.16,No
3265-UHPGC,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.14,310.8,No
6369-UFBLR,Female,0,No,No,56,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),61.75,3440.16,No
9854-UVPRB,Female,0,No,Yes,64,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),61.31,3937.5,No
9897-MUVTM,Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,80.61,4292.02,No
7327-PBTJP,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,84.52,248.62,Yes
8274-RLVKP,Male,0,Yes,No,45,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,65.33,2920.5,No
5282-OAHXY,Male,0,Yes,Yes,71,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),76.08,5401.73,No
2546-GLGFN,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),87.32,920.28,Yes
6507-VMPBK,Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),85.42,1485.62,No
6280-XNXOY,Male,0,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,75.97,2725.02,Yes
1853-WDXAX,Female,1,No,No,19,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,79.65,1509.64,Yes
3892-RGHDT,Female,0,No,Yes,72,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,42.83,3067.0,No
1365-JGGNK,Female,0,Yes,Yes,14,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,52.44,731.14,No
9728-SLHTE,Female,0,Yes,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.1,797.72,No
6116-GTQMH,Female,0,No,No,37,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),53.93,1969.14,No
6723-ZAKAM,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.13,321.41,No
3900-ANJXZ,Female,0,No,No,46,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,70.64,3267.73,No
1098-UTCYR,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.75,1758.92,Yes
2815-SFBTD,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,65.84,797.73,No
1738-RRREE,Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,17.93,No
4726-HBHFS,Male,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.58,268.62,No
5475-KUDUV,Female,1,Yes,No,31,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.96,1666.37,No
8283-ZJHRT,Male,0,No,No,61,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,57.27,3459.7,No
9056-RZMBJ,Female,1,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),90.19,542.73,No
8536-MHNCL,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.7,163.82,No
7336-OMBDT,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,79.59,306.26,Yes
9777-WYMYU,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.24,580.85,Yes
6997-HHRPQ,Male,0,No,No,72,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),55.82,4016.65,No
8753-LVETJ,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,91.2,2188.05,No
4935-EBEGP,Male,0,No,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.55,1784.02,Yes
6390-ARSYX,Male,0,Yes,No,19,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),51.47,932.81,No
7080-IJJOG,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),74.9,172.3,Yes
2310-UUAGX,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,560.95,No
9828-AZEWS,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.18,464.58,No
2937-NAKKZ,Female,0,No,No,25,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.56,1613.25,Yes
9546-XCSDC,Male,0,Yes,Yes,54,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,47.48,2576.72,No
4372-KSNRT,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.02,3261.24,Yes
4826-YTUKP,Female,1,Yes,Yes,36,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),71.39,2565.31,No
1644-AHXMT,Female,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.31,1318.54,Yes
2882-FQOYO,Female,1,No,No,72,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),66.78,4820.34,No
6285-GAKMM,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.46,1307.24,No
1054-DPQPC,Female,0,No,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,83.87,165.77,Yes
9386-FXGGM,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,85.6,1208.36,Yes
2922-PKYTH,Female,0,Yes,No,37,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.77,2312.62,No
3649-SNJAS,Female,1,No,Yes,0,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,50.74,0.0,No
8900-SYVZG,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,87.08,84.03,Yes
9293-OUQAW,Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,92.47,80.77,Yes
8046-IISUQ,Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.63,2463.62,No
6357-GYYQK,Male,0,No,No,16,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),47.35,748.16,No
6523-DFFIL,Female,1,Yes,No,11,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,56.58,653.61,No
4816-MZCJV,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,76.71,130.63,Yes
8801-JWFXF,Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.21,612.21,No
9526-OCBOS,Male,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,48.76,427.1,No
8101-UCAQB,Male,0,No,Yes,7,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,47.52,339.16,Yes
2910-PWBSA,Female,0,Yes,Yes,25,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),56.27,1419.69,No
6446-VAERF,Male,0,No,No,19,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),45.53,895.68,No
1497-CPOZB,Female,0,No,No,10,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),58.79,595.76,Yes
8103-EHIKN,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,92.07,2201.75,No
1437-RRQIX,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.08,141.88,Yes
8837-ORPRA,Female,0,No,No,38,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,70.93,2733.71,No
7538-GJIUG,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),82.13,496.05,No
3274-CJTAO,Female,0,No,No,4,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,83.66,308.48,No
1703-IIVGJ,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.04,821.77,No
3943-UHQAN,Female,0,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,513.82,No
2933-HMEDP,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.0,114.6,No
9297-LKWKN,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),77.48,130.52,No
4014-NNARU,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.53,1087.63,No
2502-LNRVM,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,87.0,3049.27,No
3521-YVBAL,Male,0,No,Yes,9,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),68.13,607.56,No
8978-HUXBF,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,451.82,No
3613-FWOZB,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,74.28,225.79,Yes
9070-SEVOZ,Female,0,No,No,16,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,44.19,711.33,No
4631-COHWP,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,0.0,No
6326-ZKQEP,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,83.08,929.83,Yes
6650-ITLKB,Female,0,Yes,No,1,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),62.06,51.35,No
2446-DVDOW,Female,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,80.06,1200.67,No
6048-YDTCS,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,84.83,1078.55,Yes
7739-OLAEO,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),100.97,1414.38,Yes
1640-UKOGY,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,54.99,58.79,Yes
8019-ASVZF,Male,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,180.72,No
9630-BONHC,Female,0,No,Yes,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,578.39,No
9625-MUIZY,Female,0,Yes,Yes,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,50.05,573.11,Yes
2795-CDMUW,Male,0,Yes,No,30,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),53.39,1613.37,No
3006-BXJGE,Female,0,Yes,No,11,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),59.46,651.28,Yes
9117-TCFDD,Male,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.03,283.43,No
6498-CZJAK,Female,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.91,458.53,No
9391-ZWYPM,Female,1,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,74.15,5326.34,Yes
7624-QAPPU,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.1,69.34,No
5469-MPTGL,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,89.28,0.0,Yes
6327-VIOQY,Male,1,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),79.53,1804.94,No
1100-FYIDZ,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.82,6993.03,Yes
7015-FMKAI,Male,1,No,Yes,72,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),66.71,4810.5,No
8872-BQEDP,Male,0,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),59.62,898.82,Yes
7387-KRBPF,Female,1,No,Yes,15,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.47,967.78,Yes
8192-YHZYT,Female,0,No,No,24,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),45.11,1050.8,No
6742-NAFVR,Male,0,Yes,No,19,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,56.17,1039.81,Yes
7042-AZRPS,Female,0,No,No,24,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,58.2,1400.71,Yes
9345-RLCDE,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,65.79,3203.23,Yes
1263-FPPQL,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,600.18,No
2613-NFRVV,Male,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.71,326.88,No
5074-LAODZ,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),67.98,956.82,No
3681-GCZGB,Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.51,443.43,No
8964-MOUUD,Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.16,1148.88,No
9018-JGZMU,Male,0,Yes,Yes,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),64.19,929.08,Yes
5687-YXIXM,Male,1,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,71.33,21.69,Yes
2665-DSZJA,Male,0,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.44,244.85,No
7627-PGUEM,Male,1,Yes,No,16,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),82.53,1333.98,Yes
2199-FZSRK,Male,0,Yes,No,41,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),60.4,2499.86,No
8758-WYISL,Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.72,595.08,Yes
2392-RXUYC,Male,0,Yes,No,17,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,56.62,931.44,Yes
3318-NCDOV,Female,0,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),57.6,587.06,No
9012-PQQFE,Female,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.31,67.54,No
6575-XDTCF,Female,0,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,60.65,4332.51,No
4287-WUTCS,Male,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.22,3171.99,No
3019-AURJC,Male,1,No,Yes,1,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,53.5,48.67,No
2259-LETLM,Male,0,Yes,Yes,30,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.61,1438.65,Yes
5497-ZHGYO,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),79.52,792.31,No
4856-APNJT,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,97.68,7010.69,Yes
2087-XDVUZ,Male,0,Yes,No,8,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,57.6,454.42,No
2349-OEXOS,Male,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,121.99,No
8379-SCBVA,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,78.41,1526.81,No
1255-CSAPA,Male,0,No,No,43,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),54.74,2332.8,No
3986-ZVNYS,Male,0,No,Yes,5,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,50.45,280.26,Yes
1925-MWKCQ,Female,0,No,Yes,29,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),87.15,2510.86,Yes
7969-NBBMU,Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.89,28.92,Yes
2705-UZWFC,Female,1,No,Yes,60,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,60.21,3616.02,Yes
8115-SEBSJ,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,92.82,184.14,Yes
4882-AAICU,Female,0,No,No,58,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.28,4079.2,Yes
1914-NOZCK,Male,0,Yes,Yes,16,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),51.74,828.99,No
2432-GJMAO,Male,1,No,No,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,64.44,927.62,Yes
9241-GQAOF,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.05,1285.54,No
9094-PZRLI,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,86.4,6218.92,No
4030-GPZUU,Female,0,Yes,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,495.1,No
1610-XOZDK,Male,0,Yes,No,3,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),42.38,140.67,Yes
7317-MATBJ,Female,0,No,No,16,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),60.05,976.35,No
5981-ZOJGX,Male,0,No,No,18,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),61.52,1114.81,No
9832-ILIDQ,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.85,1264.53,Yes
9703-QSBJG,Female,0,Yes,Yes,20,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),41.8,847.07,No
